CourseOfferingID,CourseID,EmployeeID,TermID,RoomID,CRN,ActualCredits,MaxEnrollment,Section,MeetingDays,MeetingTime
1,310,521,45,81,32106,3,1,H03,T Th   ,10:50 AM - 12:05 PM
2,310,104,1,81,21092,3,35,1,T Th   ,12:15 PM - 1:30 PM
3,310,104,1,81,21095,3,35,2,T Th   ,1:40 PM - 2:55 PM
4,310,104,5,39,19484,3,35,2,T Th   ,1:40 PM - 2:55 PM
5,310,104,5,81,19481,3,35,1,T Th   ,12:15 PM - 1:30 PM
6,310,104,15,81,25172,3,30,1,T Th   ,12:15 PM - 1:30 PM
7,310,104,15,81,25173,3,30,2,T Th   ,1:40 PM - 2:55 PM
8,310,104,25,48,27358,3,72,1,T Th   ,12:15 PM - 1:30 PM
9,310,104,34,48,28935,3,35,1,T Th   ,3:05 PM - 4:20 PM
10,310,104,34,93,28970,3,30,2,T Th   ,6:00 PM - 7:15 PM
11,310,104,45,48,25988,3,20,2,T Th   ,6:00 PM - 7:15 PM
12,310,104,45,81,25987,3,20,1,T Th   ,12:15 PM - 1:30 PM
13,310,104,45,81,25989,3,20,3,T Th   ,10:50 AM - 12:05 PM
14,310,104,56,76,27228,3,20,1,T Th   ,12:15 PM - 1:30 PM
15,310,104,56,76,27232,3,20,2,T Th   ,6:00 PM - 7:15 PM
16,310,104,56,76,27236,3,20,3,T Th   ,10:50 AM - 12:05 PM
17,310,104,8,78,52262,3,35,1,T Th   ,1:40 PM - 2:55 PM
18,310,104,9,75,52263,3,30,S81,S ,1:00 PM - 5:00 PM
19,310,104,19,86,50324,3,40,1,T Th   ,1:40 PM - 2:55 PM
20,310,104,17,7,50325,3,30,S81,NULL,NULL
21,310,104,17,75,50325,3,30,S81,S ,1:00 PM - 5:00 PM
22,310,104,29,48,55465,3,30,1,T Th   ,3:05 PM - 4:20 PM
23,310,104,27,76,55468,3,30,S81,S ,12:30 PM - 5:30 PM
24,310,104,39,86,54670,3,40,1,T Th   ,3:05 PM - 4:20 PM
25,310,104,37,75,54649,3,30,S81,T Th   ,12:30 PM - 5:30 PM
26,310,104,49,86,55753,3,30,1,T Th   ,3:05 PM - 4:20 PM
27,310,104,60,86,58097,3,25,1,T Th   ,3:05 PM - 4:20 PM
28,310,104,69,48,56985,3,25,1,T Th   ,3:05 PM - 4:20 PM
29,310,410,66,39,28968,3,20,3,M W F  ,12:00 PM - 12:50 PM
30,310,410,66,39,28969,3,20,2,M W F  ,1:30 PM - 2:20 PM
31,310,410,66,93,28967,3,20,1,M W F  ,10:00 AM - 10:50 AM
32,310,410,66,93,31661,3,0,CH1,M W F  ,10:00 AM - 10:50 AM
33,310,410,75,88,27748,3,20,1,M W F  ,10:00 AM - 10:50 AM
34,310,410,75,88,27749,3,20,2,M W F  ,1:30 PM - 2:20 PM
35,310,410,75,88,27750,3,20,3,M W F  ,12:00 PM - 12:50 PM
36,310,410,75,88,31473,3,0,CH2,M W F  ,1:30 PM - 2:20 PM
37,310,410,86,91,28420,3,25,1,M W    ,9:50 AM - 11:05 AM
38,310,410,86,91,28421,3,25,2,M W    ,12:40 PM - 1:55 PM
39,310,410,86,91,28422,3,25,3,M W    ,2:05 PM - 3:20 PM
40,310,410,78,88,56658,3,20,1,T Th   ,3:05 PM - 4:20 PM
41,310,410,78,88,56659,3,20,2,T Th   ,8:00 AM - 9:15 AM
42,310,410,89,91,56565,3,20,1,T Th   ,3:05 PM - 4:20 PM
43,310,410,89,91,56606,3,20,2,T Th   ,8:00 AM - 9:15 AM
44,311,46,7,75,52265,3,30,S82,S ,1:00 PM - 5:00 PM
45,311,104,1,81,21096,3,35,1,T Th   ,3:05 PM - 4:20 PM
46,311,104,5,39,19485,3,35,1,T Th   ,3:05 PM - 4:20 PM
47,311,104,15,86,25174,3,30,1,M W    ,3:30 PM - 4:45 PM
48,311,104,25,76,27362,3,34,1,T Th   ,3:05 PM - 4:20 PM
49,311,104,34,48,28933,3,35,1,T Th   ,1:40 PM - 2:55 PM
50,311,104,45,48,25990,3,30,1,T Th   ,3:05 PM - 4:20 PM
51,311,104,56,48,27237,3,30,1,T Th   ,3:05 PM - 4:20 PM
