CourseID,CourseNumber,CourseTitle,TitleShortDescription,MinCredit,MaxCredit
1,B403,17th Century Literature,17th Century Literature,3,NULL
2,B410,18th Century Literature,18th Century Literature,3,NULL
3,B103,2-Dimensional Design,2-Dimensional Design,3,NULL
4,B104,3-Dimensional Design,3-Dimensional Design,3,NULL
5,B312,Abnormal Behavior in Children,Abnormal Behavior in Children,3,NULL
6,B311,Abnormal Psychology,Abnormal Psychology,3,NULL
7,B410,Abstract Algebra I,Abstract Algebra I,3,NULL
8,B411,Abstract Algebra II,Abstract Algebra II,3,NULL
9,B345,Accounting Information Systems,Accounting Information Systems,3,NULL
10,B632,Action Research for Lit Edu,Action Research for Lit Edu,3,NULL
11,B645,Action Research for Literacy,Action Research for Literacy,3,NULL
12,B432,Adolescent Literature & Devel,Adolescent Literature & Devel,3,NULL
13,B326,Adult Health Nursing I,Care of Adults with Acute & Ch,3,NULL
14,B425,Adult Health Nursing II,Care of High Acuity Adults/Eld,3,NULL
15,B302,Adv Composition and Grammar,Adv Composition and Grammar,3,NULL
16,B301,Adv Conversation and Grammar,Adv Conversation and Grammar,3,NULL
17,B417,Adv Span for Bus and Professns,Adv Span for Bus and Professns,3,NULL
18,B437,Advanced Accounting,Advanced Accounting,3,NULL
19,B420,Advanced Ceramics,Advanced Ceramics,3,NULL
20,B485,Advanced Club Management,Advanced Club Management,3,NULL
21,B302,Advanced Comp and Grammar,Advanced Comp and Grammar,3,NULL
22,B465,Advanced Digital Photography,Advanced Digital Photography,3,NULL
23,B395,Advanced Directed Studies Biol,Advanced Directed Studies Biol,1,4
24,B370,Advanced Drawing,Advanced Drawing,3,NULL
25,B431,Advanced Drawing II,Advanced Drawing II,3,NULL
26,B635,Advanced Educational Psych,Advanced Educational Psych,3,NULL
27,B498,Advanced Independent Study,Advanced Independent Study,1,6
28,B412,Advanced Painting,Advanced Painting,3,NULL
29,B417,Advanced Printmaking,Advanced Printmaking,3,NULL
30,B494,Advanced Research Methods Psyc,Advanced Research Methods Psyc,3,NULL
31,B427,Advanced Sculpture,Advanced Sculpture,3,NULL
32,B501,Advanced Statistical Methods,Advanced Statistical Methods,3,NULL
33,B520,Advanced Topics Database Sys,Advanced Topics Database Sys,3,NULL
34,B460,Advanced Writing,Professional Writing Workshop,3,NULL
35,B107,Aerobic Fitness,Aerobic Fitness,1,NULL
36,B352,Africa from 1880,Africa from 1880,3,NULL
37,B428,African-American Literature,African-American Literature,3,NULL
38,B309,Age of Renaissance,Age of Renaissance,3,NULL
39,B310,Age of the Reformation,Age of the Reformation,3,NULL
40,B146,Algorithmic Design II,Object-Oriented Programming II,4,NULL
41,B469,American Legal History,American Legal History,3,NULL
42,B287,American Literature,American Literatures,3,NULL
43,B421,American Literature 1830-1860,American Literature 1830-1860,3,NULL
44,B422,American Literature 1860-1910,American Literature 1860-1910,3,NULL
45,B287,American Literatures,American Literatures,3,NULL
46,B468,American Military Experience,American Military Experience,3,NULL
47,B201,American National Government,American National Government,3,NULL
48,B450,Analysis I,Analysis I,3,NULL
49,B451,Analysis II,Analysis II,3,NULL
50,B232,Anatomy,Anatomy,4,NULL
51,B352,Anth of Magic and Religion,Anth of Magic and Religion,3,NULL
52,B344,Anthropology of Tourism,Anthropology of Tourism,3,NULL
53,B212,Applied Psychology,Applied Psychology,3,NULL
54,B314,Applied Sociology,Applied Sociology,3,NULL
55,B325,Argumentation and Debate,Advocacy and Opposition,3,NULL
56,B330,Arts in Elementary Education,Arts in Elementary Education,3,NULL
57,B303,Asian Theaters,Asian Theaters,3,NULL
58,B624,Assessment & Instructional,Assessment & Instructional,3,NULL
59,B312,Assessment & Physical Exam,Assessment & Physical Exam,3,NULL
60,B425,Assessment Lit for ECE Teacher,Assessment Lit for ECE Teacher,3,NULL
61,B625,Assessment Strategies for Read,Assessment Strategies for Read,3,NULL
62,B485,Auditing,Auditing,3,NULL
63,B431,Bacteriology,Bacteriology,3,NULL
64,B431L,Bacteriology Laboratory,Bacteriology Laboratory,1,NULL
65,B221,Basic Concpt  Elementary Mth I,Basic Concpt  Elementary Mth I,3,NULL
66,B222,Basic Concpt Elementary Mth II,Basic Concpt Elementary Mth II,3,NULL
67,B112,Basic Drawing II,Basic Drawing II,3,NULL
68,B101,Basic Health,Basic Health,3,NULL
69,B112,Basketball,Basketball,1,NULL
70,B101,Beginning French I,Beginning French I,3,NULL
