RoomID,BuildingID,Room
1,17,1
2,15,1
3,7,1
4,9,1
5,22,1
6,19,1
7,2,1
8,3,1
9,18,1
10,5,1
11,16,1
12,6,100
13,4,101
14,14,101
15,6,101
16,14,102
17,6,102
18,12,103
19,6,103
20,12,104
21,1,104
22,8,105
23,8,106A
24,8,106C
25,20,111
26,23,112
27,6,113
28,8,113
29,1,113
30,12,114
31,21,114
32,12,115
33,6,116
34,21,118
35,6,118
36,25,119
37,25,120
38,24,120
39,21,122
40,23,123
41,21,123
42,20,124
43,21,132
44,21,136
45,13,144
46,13,147
47,8,148
48,11,156
49,11,158
50,11,159
51,11,160
52,11,160B
53,11,162
54,23,200
55,14,201
56,6,201
57,6,202
58,12,202
59,6,203
60,10,203
61,6,204
62,11,204
63,12,204
64,12,205
65,6,205
66,21,205
67,6,206
68,24,206
69,12,207
70,12,213
71,24,213
72,24,214
73,12,214
74,13,219
75,21,222
76,21,223
77,21,231
78,13,237
79,13,238
80,13,241
81,13,243
82,11,260
83,21,260
84,21,261
85,21,263
86,13,267
87,11,270
88,11,271
89,11,274
90,11,275
91,11,276
92,11,277
93,11,278
94,27,BEAUFORT
95,26,BEAUFORT
